invoice_id,vendor,amount,date,description
9485,IJK Inc,2792.61,2024-05-01,Supplies
3880,ABC Ltd,7443.91,2024-07-22,Goods Purchase
7334,PQR Ltd,3504.81,2025-04-05,Goods Purchase
5624,JKL Pvt,6112.13,2024-06-06,Insurance Premium
8612,Zenith Partners,2035.72,2024-12-20,Consulting
2728,Omega Services,1777.76,2025-01-05,Logistics
3851,RST Pvt,9737.85,2025-02-16,Services
8027,UVW Co,4534.01,2024-10-31,Insurance Premium
7669,Omega Services,3419.46,2024-02-29,Training
891,RST Pvt,4101.95,2024-06-02,Supplies
8468,IJK Inc,3159.91,2024-01-26,Office Supplies
8826,GHI Inc,12039.67,2025-05-13,Office Supplies
6850,LMN Ltd,6363.57,2025-05-27,Training
9641,Bright Solutions,4827.76,2025-06-09,Insurance Premium
7518,Vanguard Corp,7679.87,2024-04-29,Raw Materials
7637,JKL Pvt,6449.72,2024-04-07,Utilities
790,Omega Services,3592.3,2025-05-18,Subscription
6788,Atlas Materials,3018.28,2024-06-09,Travel Reimbursement
5269,GHI Inc,6496.66,2025-08-14,Subscription
8310,Nova Supplies,5055.68,2025-05-06,Goods Purchase
8250,Zenith Partners,3147.08,2024-11-25,Logistics
8299,Delta Logistics,4439.34,2024-02-13,Maintenance
3267,DEF Co,8239.28,2025-07-09,Professional Fees
3396,JKL LLC,4268.52,2024-03-10,Subscription
5481,Sigma Tech,3524.47,2024-09-12,Software License
2318,Omega Services,3594.7,2025-04-01,Goods Purchase
392,IJK Inc,1653.58,2025-07-10,Repair & Maintenance
30,GHI Ltd,3721.65,2025-10-31,Consulting
10152,JKL Pvt,198876.44,2025-01-27,Logistics
7430,Atlas Materials,4777.51,2025-07-08,Raw Materials
7087,Nova Supplies,9845.77,2025-07-06,Goods Purchase
6436,XYZ Pvt,3748.3,2024-09-17,Goods Purchase
7202,Nova Supplies,4145.54,2024-11-20,Repair & Maintenance
4088,LMN Ltd,10186.25,2025-04-26,Repair & Maintenance
8696,RST Pvt,7722.05,2024-04-04,Software License
9959,ABC Corp,,2025-01-10,Utilities
6576,DEF Inc,1107.92,2024-08-12,Office Supplies
9731,MNO Inc,9448.18,2024-08-01,Training
2810,Nova Supplies,,2024-05-14,Subscription
2098,JKL LLC,3922.03,2024-09-05,Supplies
8305,Zenith Partners,1218.35,2024-06-04,Consulting
964,JKL LLC,4039.43,2025-04-28,Equipment
5879,Omega Services,2933.4,2025-05-10,Equipment
9123,Prime Vendors,5341.3,2025-05-12,Logistics
2122,IJK Inc,4052.56,2024-08-10,Office Supplies
8075,Bright Solutions,8021.14,2024-07-15,Subscription
2855,Zenith Partners,,2024-02-11,Maintenance
548,IJK Inc,6231.14,2024-10-15,Training
7820,Atlas Materials,,2024-05-03,Software License
1057,Omega Services,3350.54,2024-08-25,Advertising
8851,Atlas Materials,4877.44,2024-02-15,Insurance Premium
7765,JKL Pvt,2802.35,2024-07-21,Professional Fees
7370,Apex Trading,3660.92,2024-04-04,Equipment
7446,Quantum Industries,2402.84,2024-09-28,Equipment
3006,UVW Co,2054.33,2025-07-01,Office Supplies
8119,XYZ Ltd,1804.85,2024-10-23,Catering
3000,Delta Logistics,2804.94,2024-07-18,Services
1452,JKL Pvt,7719.22,2025-05-29,Consulting
4586,Omega Services,4642.49,2025-01-06,Maintenance
5340,GHI Inc,2884.21,2025-02-08,Office Supplies
2873,Nova Supplies,5146.86,2024-12-24,Travel Reimbursement
242,Quantum Industries,2473.23,2025-04-17,Training
6588,DEF Inc,2925.43,2024-08-10,Supplies
5729,Atlas Materials,3741.04,2025-11-18,Repair & Maintenance
9052,RST Inc,1461.24,2024-12-06,Goods Purchase
9220,Atlas Materials,2844.54,2025-08-10,Marketing
4349,Delta Logistics,5731.27,2024-12-27,Professional Fees
7137,DEF Inc,3023.0,2025-07-13,Raw Materials
8580,IJK Inc,2499.11,2024-08-01,Repair & Maintenance
5802,Atlas Materials,3667.02,2025-10-06,Logistics
5553,Delta Logistics,3632.9,2025-09-17,Travel Reimbursement
9230,LMN Ltd,8294.86,2024-09-24,Consulting
9950,RST Pvt,7593.14,2025-12-26,Insurance Premium
2783,Quantum Industries,4050.67,2025-04-17,Subscription
5044,Nova Supplies,10004.35,2024-12-31,Advertising
1258,Bright Solutions,7693.57,2025-12-31,Advertising
7646,RST Pvt,4723.13,2025-04-24,Office Supplies
1012,Nova Supplies,7848.56,2024-05-20,Insurance Premium
6649,JKL Pvt,8493.47,2025-01-07,Maintenance
9375,RST Pvt,7691.65,2025-12-17,Logistics
990,IJK Inc,4411.42,2024-03-04,Travel Reimbursement
7167,IJK Inc,3408.61,2025-07-11,Supplies
2016,MNO Inc,5836.05,2024-05-28,Subscription
5467,Delta Logistics,7062.87,2024-05-30,Repair & Maintenance
461,Quantum Industries,4526.99,2024-11-05,Supplies
6865,Zenith Partners,1871.06,2024-03-04,Raw Materials
833,Quantum Industries,,2024-10-18,Catering
8932,LMN Ltd,5471.14,2025-10-24,Logistics
3859,Quantum Industries,,2025-07-01,Training
1823,Quantum Industries,2196.09,2025-03-23,Services
4341,Omega Services,2523.2,2025-08-10,Utilities
4076,ABC Ltd,6141.33,2025-02-17,Office Supplies
9568,Quantum Industries,2023.8,2024-02-08,Supplies
7027,RST Pvt,3542.03,2024-05-29,Software License
4112,Zenith Partners,2019.17,2024-02-09,Marketing
4303,Nova Supplies,8136.35,2024-04-26,Goods Purchase
4449,Quantum Industries,2814.3,2025-09-02,Utilities
4902,LMN Ltd,,2025-02-17,Services
8954,Pinnacle Ltd,3399.8,2024-06-20,Utilities
2071,Prime Vendors,4876.01,2024-07-26,Office Supplies
2639,IJK Inc,1585.82,2025-11-24,Advertising
6698,Delta Logistics,6047.21,2024-03-09,Repair & Maintenance
6896,GHI Inc,3901.53,2024-04-28,Software License
8739,Nova Supplies,4346.44,2024-12-24,Consulting
8824,Sigma Tech,9671.65,2025-12-13,Subscription
568,DEF Co,8993.15,2024-12-05,Logistics
4170,GHI Ltd,2282.63,2025-01-01,Logistics
1655,JKL LLC,5956.64,2024-11-01,Utilities
700,Delta Logistics,4419.37,2025-10-03,Equipment
6657,Nova Supplies,4041.0,2024-01-21,Supplies
4513,Delta Logistics,5977.45,2025-02-05,Subscription
9673,Quantum Industries,2750.09,2025-04-17,Training
9573,Atlas Materials,4005.8,2024-06-12,Software License
9505,ABC Ltd,5381.07,2024-10-30,Professional Fees
5490,RST Pvt,5917.79,2025-09-03,Travel Reimbursement
2502,Zenith Partners,2668.67,2024-06-18,Goods Purchase
4539,JKL Pvt,5774.92,2024-10-06,Training
664,Nova Supplies,9091.82,2024-07-17,Training
5123,JKL Pvt,8868.16,2025-04-27,Goods Purchase
4917,Sigma Tech,7231.86,2025-09-22,Marketing
3365,GHI Inc,5484.08,2025-07-26,Office Supplies
8351,Atlas Materials,1179.83,2024-11-02,
9008,JKL Pvt,2735.2,2025-01-26,Travel Reimbursement
1455,LMN Ltd,5132.41,2024-12-16,Goods Purchase
2429,ABC Corp,4257.01,2024-09-06,Subscription
9576,Omega Services,4010.07,2024-12-06,Travel Reimbursement
8459,MNO Inc,6387.64,2025-02-02,Marketing
5705,Prime Vendors,6493.78,2025-03-02,
7724,Nova Supplies,4121.8,2025-10-14,Professional Fees
322,XYZ Pvt,3657.26,2024-05-29,Training
4943,Vanguard Corp,7977.12,2025-12-21,Raw Materials
9915,Zenith Partners,3993.02,2024-10-07,Raw Materials
2390,Omega Services,4733.07,2025-05-21,Professional Fees
1135,DEF Inc,3128.88,2025-06-11,Raw Materials
657,GHI Ltd,2593.52,2024-10-20,Software License
5901,RST Pvt,6842.81,2025-03-10,Consulting
960,ABC Corp,4923.03,2025-05-25,Logistics
8797,JKL Pvt,5505.58,2024-11-12,Travel Reimbursement
8382,Omega Services,5498.03,2025-08-20,Catering
9648,JKL Pvt,8942.43,2025-01-16,Software License
1910,Prime Vendors,7657.13,2024-04-22,Catering
8337,Atlas Materials,2969.35,2024-06-17,Subscription
8464,JKL Pvt,4593.17,2025-02-01,Logistics
9586,IJK Inc,3061.89,2024-08-13,Consulting
6930,Pinnacle Ltd,2341.52,2024-08-09,Services
3936,DEF Inc,1540.97,2025-07-10,Services
6705,Atlas Materials,4970.41,2025-05-02,Maintenance
7401,Zenith Partners,1817.92,2024-07-19,Catering
6448,GHI Ltd,3445.54,2025-09-07,Training
8578,Delta Logistics,4734.88,2024-10-13,
2231,DEF Co,5371.79,2025-07-21,Equipment
219,Prime Vendors,6949.23,2024-07-21,Supplies
5016,RST Pvt,7769.91,2024-10-05,Marketing
1554,MNO Inc,3757.89,2024-09-26,Logistics
772,ABC Ltd,7591.44,2025-07-27,Professional Fees
862,LMN Ltd,13294.13,2025-05-16,Travel Reimbursement
3579,Pinnacle Ltd,2461.06,2025-05-01,Consulting
7151,Omega Services,2812.8,2024-10-19,Consulting
8016,GHI Inc,7499.12,2025-10-06,Supplies
8810,JKL Pvt,1258.3,2025-01-05,Training
672,JKL Pvt,3788.25,2025-07-28,Goods Purchase
499,Atlas Materials,6150.33,2024-01-02,Travel Reimbursement
8342,ABC Ltd,3938.56,2024-08-01,Utilities
5548,XYZ Pvt,3498.67,2025-02-07,Software License
1814,RST Pvt,3723.46,2024-03-01,Marketing
4366,Delta Logistics,2058.99,2024-04-12,Consulting
631,GHI Inc,6268.45,2025-11-10,Travel Reimbursement
4019,Delta Logistics,7559.43,2025-03-10,Equipment
6522,Prime Vendors,9915.03,2025-06-08,Supplies
3687,PQR Ltd,5212.48,2024-08-29,Software License
9143,DEF Inc,5941.12,2025-03-17,Goods Purchase
2364,Bright Solutions,6340.77,2025-09-29,Training
5070,JKL Pvt,1475.96,2024-08-11,Travel Reimbursement
3619,JKL Pvt,5203.96,2025-05-13,Insurance Premium
9315,Pinnacle Ltd,2344.64,2025-07-08,Software License
7226,Sigma Tech,7213.18,2025-07-20,Advertising
4810,Nova Supplies,9169.56,2024-04-15,Insurance Premium
2463,RST Pvt,3511.54,2024-10-03,Subscription
2377,DEF Inc,4506.11,2024-11-05,Marketing
8792,Atlas Materials,4763.07,2024-07-10,Software License
2117,RST Pvt,9271.4,2024-11-30,Professional Fees
10010,ABC Ltd,4418.17,2024-10-04,Professional Fees
1038,Prime Vendors,9120.34,2025-12-14,Consulting
4937,GHI Ltd,241.18,2025-02-13,Utilities
7148,Atlas Materials,3145.66,2025-05-31,Advertising
8425,IJK Inc,4648.71,2025-07-25,Training
9818,Zenith Partners,2782.87,2025-11-22,Software License
5,IJK Inc,3075.01,2024-08-26,Consulting
901,ABC Ltd,9740.27,2024-11-26,Office Supplies
1362,ABC Ltd,3639.04,2025-12-12,Subscription
6977,IJK Inc,1010.75,2025-08-16,Marketing
9681,LMN Ltd,2735.13,2025-03-08,Software License
4662,GHI Ltd,2585.21,2025-08-09,Software License
1079,Zenith Partners,1323.34,2025-12-28,Repair & Maintenance
9331,Bright Solutions,10758.58,2025-08-30,Software License
1376,JKL Pvt,5102.87,2025-06-12,Repair & Maintenance
8164,JKL Pvt,5177.42,2024-02-04,Training
718,Zenith Partners,3479.41,2025-06-13,Travel Reimbursement
1302,JKL Pvt,6873.43,2024-06-21,Logistics
516,RST Pvt,9951.05,2025-08-10,Raw Materials
1063,Quantum Industries,1641.07,2025-01-13,Supplies
8108,GHI Ltd,1532.62,2025-04-14,Supplies
7457,Vanguard Corp,7584.54,2024-11-08,Utilities
3482,IJK Inc,3568.04,2025-08-11,Raw Materials
9970,JKL LLC,4006.23,2025-02-07,Equipment
6275,IJK Inc,4945.57,2025-05-29,Repair & Maintenance
3024,LMN Ltd,7466.49,2024-09-06,Equipment
9730,Nova Supplies,7058.27,2024-06-08,Travel Reimbursement
3639,JKL Pvt,4800.93,2024-10-28,Supplies
6430,RST Pvt,12334.38,2025-02-02,Goods Purchase
9643,Bright Solutions,11024.65,2025-12-11,Software License
3497,LMN Ltd,304.67,2024-05-28,Logistics
9146,Prime Vendors,5217.35,2024-08-01,Marketing
2802,Atlas Materials,3082.87,2025-05-07,Catering
2914,Omega Services,4571.26,2025-09-01,Training
5930,Delta Logistics,2350.94,2025-05-19,Training
8019,Nova Supplies,4582.08,2025-04-12,Professional Fees
8837,RST Pvt,9916.87,2024-03-11,Goods Purchase
6384,ABC Ltd,8053.31,2025-12-12,Training
7234,JKL Pvt,4227.46,2025-01-05,Software License
4183,DEF Inc,5610.72,2024-06-30,Consulting
6162,Apex Trading,2201.17,2024-03-23,Logistics
2898,Delta Logistics,4573.32,2025-09-02,Software License
1672,DEF Co,7280.98,2025-05-23,Catering
3357,Omega Services,4390.66,2024-06-03,Travel Reimbursement
7213,GHI Inc,4718.42,2025-09-20,Advertising
5145,Prime Vendors,5147.84,2024-02-16,Office Supplies
7227,Omega Services,1932.16,2025-01-13,Goods Purchase
59,LMN Ltd,11270.18,2024-10-12,Office Supplies
514,Prime Vendors,9430.57,2024-01-23,Equipment
5365,Omega Services,3164.0,2024-07-30,Marketing
4119,Delta Logistics,7123.61,2024-07-27,Marketing
2162,Pinnacle Ltd,1502.55,2024-10-30,Travel Reimbursement
2266,Omega Services,2358.8,2025-05-02,Repair & Maintenance
7055,Quantum Industries,4561.07,2025-10-04,Raw Materials
4176,LMN Ltd,4277.51,2024-10-15,Repair & Maintenance
1900,Omega Services,4783.42,2025-05-10,Advertising
7970,LMN Ltd,6233.53,2024-07-02,Catering
1352,LMN Ltd,8059.36,2024-08-12,Software License
5557,RST Pvt,5340.97,2025-09-07,Travel Reimbursement
8428,PQR Ltd,4558.45,2025-03-27,Consulting
1747,IJK Inc,5033.82,2025-08-03,Training
562,GHI Ltd,1279.38,2025-02-01,Professional Fees
9307,Quantum Industries,2171.22,2024-04-16,Software License
6302,Omega Services,2362.12,2025-06-20,Office Supplies
6130,LMN Ltd,11911.63,2025-05-19,Training
10057,Omega Services,5645.04,2024-11-10,Marketing
536,MNO Inc,8204.53,2024-01-02,Repair & Maintenance
8980,Prime Vendors,6983.73,2025-02-21,Insurance Premium
5219,GHI Inc,12851.56,2025-01-09,Catering
1687,IJK Inc,4051.48,2025-01-22,Software License
1142,JKL Pvt,2651.67,2025-03-13,Maintenance
5306,MNO Inc,2124.64,2025-02-23,Maintenance
4063,Atlas Materials,2635.51,2025-06-15,Marketing
1472,JKL Pvt,4626.45,2025-11-17,Consulting
4467,IJK Inc,4133.3,2025-07-22,Software License
6982,Atlas Materials,4171.74,2025-08-08,Utilities
10041,Atlas Materials,4883.96,2024-12-28,Subscription
9840,DEF Co,3749.49,2024-11-14,Marketing
522,Zenith Partners,2244.67,2025-05-29,Insurance Premium
6198,PQR Ltd,3167.99,2025-02-18,Training
585,LMN Ltd,7434.01,2024-10-10,Insurance Premium
7885,MNO Inc,8347.32,2024-06-27,Subscription
7925,JKL Pvt,5433.45,2024-05-17,Equipment
770,LMN Ltd,6534.06,2025-07-29,Repair & Maintenance
8415,Nova Supplies,2388.11,2025-08-16,Insurance Premium
5456,GHI Inc,9020.62,2024-07-13,Training
3925,XYZ Ltd,2791.37,2025-04-06,Raw Materials
820,JKL LLC,5799.72,2024-07-15,Consulting
7884,Prime Vendors,622.27,2025-07-06,Travel Reimbursement
7135,JKL Pvt,,2025-08-06,Travel Reimbursement
1769,RST Pvt,6194.4,2025-10-05,Utilities
9766,DEF Co,1189.62,2025-10-25,Software License
1906,LMN Ltd,3228.25,2025-06-03,Maintenance
7747,Zenith Partners,2086.99,2025-03-11,Services
768,RST Pvt,2269.26,2024-06-02,Subscription
9109,DEF Co,7239.5,2024-08-02,Software License
7766,ABC Ltd,4022.83,2025-09-23,Office Supplies
9407,Nova Supplies,6020.92,2025-03-05,Goods Purchase
7959,JKL Pvt,6474.26,2025-01-13,Raw Materials
9323,Sigma Tech,5082.78,2025-03-14,Raw Materials
7150,ABC Ltd,6937.81,2025-05-30,Goods Purchase
1477,Pinnacle Ltd,1997.49,2025-01-11,Marketing
4296,PQR Ltd,6000.29,2024-01-03,Services
4006,IJK Inc,2232.9,2024-11-05,Software License
10015,Quantum Industries,2677.41,2024-05-12,Advertising
2010,GHI Ltd,3257.32,2024-01-08,Insurance Premium
6230,LMN Ltd,3050.8,2025-04-02,Raw Materials
2805,Atlas Materials,3906.82,2024-06-26,Office Supplies
9298,Sigma Tech,4858.92,2024-05-23,Advertising
4685,XYZ Pvt,2052.63,2024-02-12,Advertising
832,ABC Ltd,3372.43,2025-07-17,Software License
6819,Prime Vendors,6767.53,2025-08-29,Logistics
1330,Atlas Materials,4551.66,2024-09-10,Consulting
3792,DEF Co,7547.15,2024-07-21,Marketing
3909,ABC Corp,3224.23,2025-01-22,Services
7078,GHI Inc,4131.21,2025-04-29,Professional Fees
2854,IJK Inc,3918.04,2025-07-01,Travel Reimbursement
2346,DEF Inc,5457.24,2025-10-29,Raw Materials
2130,Atlas Materials,3450.48,2024-11-03,Logistics
429,RST Pvt,5446.76,2025-09-20,Maintenance
2932,DEF Inc,1925.67,2024-12-29,Logistics
889,MNO Inc,3436.9,2025-06-20,Travel Reimbursement
6709,Quantum Industries,3123.01,2025-12-03,Training
8614,OPQ Corp,499.72,2024-12-27,Utilities
8742,RST Pvt,8825.36,2025-04-23,Travel Reimbursement
6195,MNO Inc,1876.99,2024-03-18,Advertising
5347,Prime Vendors,9407.47,2024-12-09,Equipment
8114,Omega Services,4637.91,2025-05-29,Goods Purchase
5597,Prime Vendors,6050.93,2024-06-16,Goods Purchase
7614,Omega Services,4075.83,2025-04-02,Office Supplies
500,JKL LLC,1370.05,2025-06-26,Logistics
4804,Omega Services,3368.37,2024-12-16,Advertising
8090,Vanguard Corp,6515.01,2024-05-18,Raw Materials
5023,Prime Vendors,6502.39,2024-12-03,Consulting
3341,Atlas Materials,5078.78,2024-01-02,Office Supplies
1500,Nova Supplies,6061.55,2024-10-07,Consulting
3866,IJK Inc,2316.8,2024-06-10,Maintenance
9755,DEF Co,10236.07,2024-03-10,Office Supplies
2209,GHI Inc,8295.94,2025-07-27,Utilities
8715,ABC Ltd,6041.33,2024-11-18,Office Supplies
4876,RST Pvt,4259.26,2025-05-14,Supplies
6840,GHI Inc,-2156.91,2025-01-05,Supplies
8378,DEF Inc,3522.48,2025-11-29,Travel Reimbursement
3232,Pinnacle Ltd,1813.07,2025-10-08,Repair & Maintenance
12,GHI Inc,7258.06,2025-08-20,Travel Reimbursement
6495,OPQ Corp,2076.43,2024-08-20,Services
713,Prime Vendors,7055.16,2024-05-22,Utilities
4709,LMN Ltd,10345.0,2024-10-06,Travel Reimbursement
6565,ABC Corp,4056.17,2024-09-22,Raw Materials
6328,IJK Inc,2091.3,2024-04-01,Logistics
6674,IJK Inc,1111.61,2025-05-26,Raw Materials
1266,MNO Inc,2617.7,2024-03-02,Office Supplies
7986,LMN Ltd,12032.36,2025-11-23,Advertising
8779,GHI Inc,9692.52,2025-09-29,Supplies
6073,Zenith Partners,1896.3,2024-02-27,Catering
6458,RST Pvt,7411.61,2024-03-01,Catering
8717,Quantum Industries,2140.2,2025-11-04,Software License
6091,DEF Inc,6597.76,2024-06-07,Supplies
223,Prime Vendors,4684.8,2024-03-16,Training
4541,RST Pvt,6987.05,2024-01-29,Logistics
5789,MNO Inc,5571.0,2024-03-27,Maintenance
1396,Delta Logistics,2668.79,2025-04-13,Travel Reimbursement
1525,Delta Logistics,4466.64,2025-08-04,Software License
5265,DEF Inc,472.07,2024-10-07,Services
1816,Nova Supplies,689.84,2025-09-16,Services
9386,IJK Inc,2500.89,2025-05-17,Advertising
8806,Atlas Materials,2031.61,2024-04-27,Office Supplies
9908,GHI Inc,1485.98,2025-06-30,Utilities
7009,GHI Inc,8416.2,2024-12-18,Services
623,Quantum Industries,2468.9,2025-01-16,Insurance Premium
256,JKL Pvt,8501.52,2024-01-21,Travel Reimbursement
1206,Delta Logistics,5620.91,2025-08-05,Marketing
1122,Bright Solutions,247.03,2024-04-08,Equipment
3545,Nova Supplies,6179.9,2025-02-22,Goods Purchase
9338,RST Pvt,4870.87,2024-06-23,
2520,IJK Inc,2884.07,2025-09-30,Subscription
7651,Apex Trading,5643.98,2024-09-21,Professional Fees
1128,Omega Services,4747.69,2025-11-06,Professional Fees
6575,Sigma Tech,3733.25,2024-07-23,Repair & Maintenance
9688,Sigma Tech,6132.81,2024-02-05,Repair & Maintenance
4774,ABC Ltd,6258.99,2025-02-14,Goods Purchase
3287,GHI Ltd,4260.43,2024-01-17,Equipment
8331,Quantum Industries,3402.0,2024-04-18,Services
9186,MNO Inc,3000.48,2024-06-18,Advertising
4106,Quantum Industries,1636.62,2024-08-08,Subscription
4515,GHI Inc,7916.45,2025-05-18,Training
3952,Zenith Partners,2495.91,2025-08-12,Subscription
8839,XYZ Pvt,2080.75,2024-10-13,Repair & Maintenance
6616,MNO Inc,2491.29,2024-01-31,Consulting
4824,GHI Inc,6608.29,2024-02-21,Goods Purchase
2706,Atlas Materials,3339.06,2025-01-04,Travel Reimbursement
1885,RST Pvt,9000.79,2025-09-12,Consulting
8066,Delta Logistics,6756.63,2024-02-02,Insurance Premium
3449,Sigma Tech,6241.28,2025-10-10,Training
9290,JKL LLC,5319.32,2024-07-28,Marketing
7224,MNO Inc,5766.08,2025-06-19,Supplies
4068,ABC Ltd,5501.8,2025-06-13,Travel Reimbursement
2842,Nova Supplies,9729.65,2025-07-07,Maintenance
8822,Bright Solutions,8075.1,2025-02-21,Professional Fees
8099,ABC Corp,3949.71,2024-10-03,Supplies
1062,LMN Ltd,8433.62,2024-06-28,Marketing
9249,GHI Inc,,2025-10-03,Advertising
9774,Prime Vendors,2239.0,2024-03-03,Insurance Premium
3897,RST Pvt,8596.11,2024-08-30,Catering
9783,ABC Corp,4889.89,2025-05-09,Consulting
3214,JKL Pvt,2773.52,2024-10-05,Travel Reimbursement
2493,Atlas Materials,3884.87,2024-03-16,Catering
9297,MNO Inc,9637.68,2025-09-14,Supplies
1406,GHI Ltd,2861.46,2024-01-12,Software License
9845,LMN Ltd,10835.76,2024-09-18,Travel Reimbursement
7373,ABC Corp,3304.15,2024-02-13,Goods Purchase
175,DEF Inc,9303.59,2024-04-28,Consulting
4413,Omega Services,3942.94,2024-08-31,Professional Fees
10179,Omega Services,167606.9,2024-09-28,Goods Purchase
10088,ABC Ltd,6274.8,2025-11-10,Logistics
2960,Quantum Industries,2224.67,2025-11-06,Services
746,Delta Logistics,3820.98,2025-07-26,Repair & Maintenance
1991,Sigma Tech,6643.52,2024-02-25,Equipment
7233,RST Pvt,4457.87,2024-07-18,Travel Reimbursement
784,JKL Pvt,4225.35,2024-06-23,Goods Purchase
5353,Pinnacle Ltd,1117.67,2024-08-12,Subscription
5601,LMN Ltd,9964.46,2024-02-03,Repair & Maintenance
8829,LMN Ltd,6138.52,2025-11-09,Marketing
7421,Sigma Tech,6545.82,2025-08-22,Raw Materials
510,DEF Inc,2819.13,2024-11-02,Software License
6433,Quantum Industries,1372.12,2025-07-12,Professional Fees
8914,Quantum Industries,3252.76,2024-01-06,Catering
4328,Zenith Partners,1517.25,2024-10-24,Consulting
7859,RST Pvt,5357.9,2025-10-22,Advertising
5651,RST Pvt,1811.08,2025-02-20,Logistics
2549,Delta Logistics,2584.21,2025-06-25,Repair & Maintenance
8287,Omega Services,1104.93,2025-05-15,Insurance Premium
7946,JKL Pvt,2614.77,2025-02-14,Software License
2601,Omega Services,,2024-04-25,Repair & Maintenance
9575,GHI Inc,9597.57,2025-12-10,Goods Purchase
3718,GHI Inc,8311.37,2024-02-02,Raw Materials
5892,Prime Vendors,11818.23,2024-06-19,Utilities
7558,Pinnacle Ltd,931.95,2025-09-18,Subscription
3032,Pinnacle Ltd,1669.98,2024-10-15,Goods Purchase
1259,Atlas Materials,,2024-11-17,Office Supplies
2344,Delta Logistics,2467.06,2024-07-18,Advertising
8650,Prime Vendors,6916.19,2025-12-13,Logistics
8581,Delta Logistics,2453.66,2025-01-24,Travel Reimbursement
8392,Bright Solutions,7313.79,2025-11-09,Equipment
1630,DEF Inc,8481.92,2024-11-18,
6289,Nova Supplies,2437.51,2025-02-01,Software License
6168,Nova Supplies,3921.82,2024-09-14,Office Supplies
8102,Quantum Industries,2875.11,2025-01-16,Repair & Maintenance
6109,Apex Trading,6425.82,2025-02-09,Supplies
8608,IJK Inc,3652.94,2025-09-27,Advertising
9450,IJK Inc,2249.83,2025-04-21,Professional Fees
5061,GHI Inc,4590.58,2025-12-06,Travel Reimbursement
8525,Atlas Materials,4324.56,2024-11-04,Catering
6945,Quantum Industries,1634.54,2025-07-04,Consulting
8215,IJK Inc,2485.81,2024-05-17,Subscription
365,JKL Pvt,6545.62,2025-12-25,Marketing
6248,Atlas Materials,3552.42,2025-01-28,Services
